 00:00:00.071558 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 1369:2737, ack 324, win 507, options [nop,nop,TS val 1395313687 ecr 3652396244], length 1368
 00:00:00.071569 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 2737:3648, ack 324, win 507, options [nop,nop,TS val 1395313687 ecr 3652396244], length 911
 00:00:00.091079 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], ack 330, win 507, options [nop,nop,TS val 1395313707 ecr 3652396305], length 0
 00:00:00.091290 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], ack 388, win 507, options [nop,nop,TS val 1395313707 ecr 3652396305], length 0
 00:00:00.091507 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 3648:3727, ack 388, win 507, options [nop,nop,TS val 1395313708 ecr 3652396305], length 79
 00:00:00.091782 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 3727:3806, ack 388, win 507, options [nop,nop,TS val 1395313708 ecr 3652396305], length 79
 00:00:00.094765 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 3806:5174, ack 526, win 506, options [nop,nop,TS val 1395313711 ecr 3652396305], length 1368
 00:00:00.094767 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 5174:6542, ack 526, win 506, options [nop,nop,TS val 1395313711 ecr 3652396305], length 1368
 00:00:00.094768 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 6542:7910, ack 526, win 506, options [nop,nop,TS val 1395313711 ecr 3652396305], length 1368
 00:00:00.094769 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 7910:9278, ack 526, win 506, options [nop,nop,TS val 1395313711 ecr 3652396305], length 1368
 00:00:00.094770 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 9278:10646, ack 526, win 506, options [nop,nop,TS val 1395313711 ecr 3652396305], length 1368
 00:00:00.094771 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 10646:12014, ack 526, win 506, options [nop,nop,TS val 1395313711 ecr 3652396305], length 1368
 00:00:00.094772 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 12014:13382, ack 526, win 506, options [nop,nop,TS val 1395313711 ecr 3652396305], length 1368
 00:00:00.094773 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 13382:14750, ack 526, win 506, options [nop,nop,TS val 1395313711 ecr 3652396305], length 1368
 00:00:00.106344 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 14750:16118, ack 526, win 506, options [nop,nop,TS val 1395313723 ecr 3652396321], length 1368
 00:00:00.106345 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 16118:17486, ack 526, win 506, options [nop,nop,TS val 1395313723 ecr 3652396321], length 1368
 00:00:00.106345 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 17486:18854, ack 526, win 506, options [nop,nop,TS val 1395313723 ecr 3652396322], length 1368
 00:00:00.106346 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 18854:20222, ack 526, win 506, options [nop,nop,TS val 1395313723 ecr 3652396322], length 1368
 00:00:00.108385 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 20222:21590, ack 526, win 506, options [nop,nop,TS val 1395313726 ecr 3652396324], length 1368
 00:00:00.108387 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 21590:22958, ack 526, win 506, options [nop,nop,TS val 1395313726 ecr 3652396324], length 1368
 00:00:00.108388 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 22958:24326, ack 526, win 506, options [nop,nop,TS val 1395313726 ecr 3652396324], length 1368
 00:00:00.108389 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 24326:25694, ack 526, win 506, options [nop,nop,TS val 1395313726 ecr 3652396324], length 1368
 00:00:00.108390 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 25694:27062, ack 526, win 506, options [nop,nop,TS val 1395313726 ecr 3652396324], length 1368
 00:00:00.108391 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 27062:28430, ack 526, win 506, options [nop,nop,TS val 1395313726 ecr 3652396324], length 1368
 00:00:00.108716 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 28430:29798, ack 526, win 506, options [nop,nop,TS val 1395313726 ecr 3652396324], length 1368
 00:00:00.108718 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 29798:31166, ack 526, win 506, options [nop,nop,TS val 1395313726 ecr 3652396324], length 1368
 00:00:00.108719 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 31166:32534, ack 526, win 506, options [nop,nop,TS val 1395313726 ecr 3652396324], length 1368
 00:00:00.108720 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 32534:33902, ack 526, win 506, options [nop,nop,TS val 1395313726 ecr 3652396324], length 1368
 00:00:00.108721 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 33902:35270, ack 526, win 506, options [nop,nop,TS val 1395313726 ecr 3652396324], length 1368
 00:00:00.108722 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 35270:36638, ack 526, win 506, options [nop,nop,TS val 1395313726 ecr 3652396324], length 1368
 00:00:00.108723 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 36638:38006, ack 526, win 506, options [nop,nop,TS val 1395313726 ecr 3652396324], length 1368
 00:00:00.108724 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 38006:39374, ack 526, win 506, options [nop,nop,TS val 1395313726 ecr 3652396324], length 1368
 00:00:00.108725 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 39374:40742, ack 526, win 506, options [nop,nop,TS val 1395313726 ecr 3652396324], length 1368
 00:00:00.108726 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 40742:42110, ack 526, win 506, options [nop,nop,TS val 1395313726 ecr 3652396324], length 1368
 00:00:00.120086 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 42110:43478, ack 526, win 506, options [nop,nop,TS val 1395313737 ecr 3652396336], length 1368
 00:00:00.120087 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 43478:44846, ack 526, win 506, options [nop,nop,TS val 1395313737 ecr 3652396336], length 1368
 00:00:00.120088 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 44846:46214, ack 526, win 506, options [nop,nop,TS val 1395313737 ecr 3652396336], length 1368
 00:00:00.120089 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 46214:47582, ack 526, win 506, options [nop,nop,TS val 1395313737 ecr 3652396336], length 1368
 00:00:00.120090 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 47582:48950, ack 526, win 506, options [nop,nop,TS val 1395313737 ecr 3652396336], length 1368
 00:00:00.120091 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 48950:50318, ack 526, win 506, options [nop,nop,TS val 1395313737 ecr 3652396336], length 1368
 00:00:00.120258 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 50318:51686, ack 526, win 506, options [nop,nop,TS val 1395313738 ecr 3652396336], length 1368
 00:00:00.120259 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 51686:53054, ack 526, win 506, options [nop,nop,TS val 1395313738 ecr 3652396336], length 1368
 00:00:00.121921 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 53054:54422, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.121922 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 54422:55790, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.121923 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 55790:57158, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.121924 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 57158:58526, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.121925 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 58526:59894, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
 00:00:00.122113 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 59894:61262, ack 526, win 506, options [nop,nop,TS val 1395313739 ecr 3652396338], length 1368
